age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
56;housemaid;married;basic.4y;no;no;no;telephone;may;mon;261;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
57;services;married;high.school;unknown;no;no;telephone;may;mon;149;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
37;services;married;high.school;no;yes;no;telephone;may;mon;226;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
40;admin.;married;basic.6y;no;no;no;telephone;may;mon;151;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
56;services;married;high.school;no;no;yes;telephone;may;mon;307;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
45;services;married;basic.9y;unknown;no;no;telephone;may;mon;198;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
59;admin.;married;professional.course;no;no;no;telephone;may;mon;139;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
41;blue-collar;married;unknown;unknown;no;no;telephone;may;mon;217;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
24;technician;single;professional.course;no;yes;no;telephone;may;mon;380;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
25;services;single;high.school;no;yes;no;telephone;may;mon;50;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
41;blue-collar;married;basic.4y;unknown;no;no;telephone;may;mon;55;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
25;services;single;high.school;no;yes;no;telephone;may;mon;222;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
29;blue-collar;single;high.school;no;no;yes;telephone;may;mon;137;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
57;housemaid;married;basic.4y;no;yes;no;telephone;may;mon;333;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
35;blue-collar;married;basic.6y;no;yes;yes;telephone;may;mon;159;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
37;management;single;university.degree;no;yes;no;cellular;may;tue;447;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;yes
31;admin.;single;university.degree;no;yes;no;cellular;may;tue;410;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;yes
44;technician;married;high.school;no;yes;no;cellular;may;mon;311;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;yes
32;entrepreneur;married;university.degree;no;no;no;cellular;may;mon;481;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;yes
39;admin.;married;university.degree;no;yes;no;cellular;may;mon;349;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;yes

